target_aphia_id,target_taxon_name,target_taxon_level,lit_aphia_id,lit_taxon_name,lit_taxon_level,lit_taxon_type,citation,trait_group,trait_value,trait_unit,Gender
104108,Acartia_UnID,Genus,745864,Paracartia grani grani,Species,species within genus,"Sars, G.O. (1920). Copepoda Supplement. Parts VII & VIII. Harpacticoida (continued). An Account of the Crustacea of Norway, with short descriptions and figures of all the species. Bergen Museum, Bergen. 7:73-92, pls. 49-64.",maximum adult body length,1,mm,female
104108,Acartia_UnID,Genus,745864,Paracartia grani grani,Species,species within genus,"Sars, G.O. (1920). Copepoda Supplement. Parts VII & VIII. Harpacticoida (continued). An Account of the Crustacea of Norway, with short descriptions and figures of all the species. Bergen Museum, Bergen. 7:73-92, pls. 49-64.",maximum adult body length,1,mm,male
104108,Acartia_UnID,Genus,745864,Paracartia grani grani,Species,species within genus,"Conway, D.V.P. (2012). Marine zooplankton of southern Britain. Part 2: Arachnida, Pycnogonida, Cladocera, Facetotecta, Cirripedia and Copepoda. In: John, A.W.G. (ed.). Occasional Publications. Marine Biological Association of the United Kingdom, Plymouth, United Kingdom. 26:163 pp.",maximum adult body length,1,mm,female
104108,Acartia_UnID,Genus,745864,Paracartia grani grani,Species,species within genus,"Conway, D.V.P. (2012). Marine zooplankton of southern Britain. Part 2: Arachnida, Pycnogonida, Cladocera, Facetotecta, Cirripedia and Copepoda. In: John, A.W.G. (ed.). Occasional Publications. Marine Biological Association of the United Kingdom, Plymouth, United Kingdom. 26:163 pp.",maximum adult body length,1,mm,male
104108,Acartia_UnID,Genus,745864,Paracartia grani grani,Species,species within genus,"Breemen, P.J. van. (1908). VIII. Copepoden. In: Nordisches Plankton, Zoologischer Teil, Vierter Band, Verlag von Lipsius & Tischer, Kiel. 4(8):1-264, figs. 1-251.",maximum adult body length,1,mm,
104108,Acartia_UnID,Genus,745864,Paracartia grani grani,Species,species within genus,"Razouls, C., N. Desreumaux, J. Kouwenberg & F. de Bovée. (2005). Biodiversity of Marine Planktonic Copepods (morphology, geographical distribution and biological data). Sorbonne University, CNRS. ",maximum adult body length,1.12,mm,male
104108,Acartia_UnID,Genus,745864,Paracartia grani grani,Species,species within genus,"Razouls, C., N. Desreumaux, J. Kouwenberg & F. de Bovée. (2005). Biodiversity of Marine Planktonic Copepods (morphology, geographical distribution and biological data). Sorbonne University, CNRS. ",maximum adult body length,1.26,mm,female
104108,Acartia_UnID,Genus,345328,Acartiella gravelyi,Species,species within genus,"Sewell, R.B.S. (1919). A preliminary note on some new species of Copepoda. Records of the Indian Museum, Calcutta 16:1-18, pls. 9-10. (22-i-1919)",maximum adult body length,1.16,mm,male
104108,Acartia_UnID,Genus,345328,Acartiella gravelyi,Species,species within genus,"Sewell, R.B.S. (1919). A preliminary note on some new species of Copepoda. Records of the Indian Museum, Calcutta 16:1-18, pls. 9-10. (22-i-1919)",maximum adult body length,1.4,mm,female
104108,Acartia_UnID,Genus,345328,Acartiella gravelyi,Species,species within genus,"Razouls, C., N. Desreumaux, J. Kouwenberg & F. de Bovée. (2005). Biodiversity of Marine Planktonic Copepods (morphology, geographical distribution and biological data). Sorbonne University, CNRS. ",maximum adult body length,1.16,mm,male
104108,Acartia_UnID,Genus,345328,Acartiella gravelyi,Species,species within genus,"Razouls, C., N. Desreumaux, J. Kouwenberg & F. de Bovée. (2005). Biodiversity of Marine Planktonic Copepods (morphology, geographical distribution and biological data). Sorbonne University, CNRS. ",maximum adult body length,1.4,mm,female
104108,Acartia_UnID,Genus,346035,Acartia (Acartiura) hongi,Species,species within genus,"Soh, H.Y. & H.L. Suh. (2000). A new species of Acartia (Copepoda, Calanoida) from the Yellow Sea. Journal of Plankton Research. 22(2): 321-337.",maximum adult body length,1.04,mm,male
104108,Acartia_UnID,Genus,346035,Acartia (Acartiura) hongi,Species,species within genus,"Soh, H.Y. & H.L. Suh. (2000). A new species of Acartia (Copepoda, Calanoida) from the Yellow Sea. Journal of Plankton Research. 22(2): 321-337.",maximum adult body length,1.19,mm,female
104108,Acartia_UnID,Genus,346035,Acartia (Acartiura) hongi,Species,species within genus,"Razouls, C., N. Desreumaux, J. Kouwenberg & F. de Bovée. (2005). Biodiversity of Marine Planktonic Copepods (morphology, geographical distribution and biological data). Sorbonne University, CNRS. ",maximum adult body length,1.04,mm,male
104108,Acartia_UnID,Genus,346035,Acartia (Acartiura) hongi,Species,species within genus,"Razouls, C., N. Desreumaux, J. Kouwenberg & F. de Bovée. (2005). Biodiversity of Marine Planktonic Copepods (morphology, geographical distribution and biological data). Sorbonne University, CNRS. ",maximum adult body length,1.19,mm,female
104108,Acartia_UnID,Genus,149751,Acartia (Acartiura) hudsonica,Species,species within genus,"Bradford, J.M. (1976). Partial revision of the Acartia subgenus Acartiura (Copepoda: Calanoida: Acartiidae). New Zealand Journal of Marine and Freshwater Research 10(1):159-202, figs. 1-33. (iii-1976)",maximum adult body length,1.07,mm,male
104108,Acartia_UnID,Genus,149751,Acartia (Acartiura) hudsonica,Species,species within genus,"Bradford-Grieve, J.M. (1999). To replace Fiches d'Identification du Zooplancton No. 12. Copepoda. Sub-order: Calanoida, Family: Acartiidae, Genera: Acartia, Paracartia, Pteriacartia. ICES (International Council for the Exploration of the Sea) Identification Leaflets for Plankton 181:1-19.",maximum adult body length,1.32,mm,female
104108,Acartia_UnID,Genus,149751,Acartia (Acartiura) hudsonica,Species,species within genus,"Harding, G. (2004). Key to the adult pelagic calanoid copepods found over the continental shelf of the Canadian Atlantic coast. Marine Environmental Science, Bedford Institute of Oceanography, Dartmouth, Canada. 68pp. ",maximum adult body length,1.02,mm,male
104108,Acartia_UnID,Genus,149751,Acartia (Acartiura) hudsonica,Species,species within genus,"Razouls, C., N. Desreumaux, J. Kouwenberg & F. de Bovée. (2005). Biodiversity of Marine Planktonic Copepods (morphology, geographical distribution and biological data). Sorbonne University, CNRS. ",maximum adult body length,1.07,mm,male
104108,Acartia_UnID,Genus,149751,Acartia (Acartiura) hudsonica,Species,species within genus,"Harding, G. (2004). Key to the adult pelagic calanoid copepods found over the continental shelf of the Canadian Atlantic coast. Marine Environmental Science, Bedford Institute of Oceanography, Dartmouth, Canada. 68pp. ",maximum adult body length,1.2,mm,female
104108,Acartia_UnID,Genus,149751,Acartia (Acartiura) hudsonica,Species,species within genus,"Razouls, C., N. Desreumaux, J. Kouwenberg & F. de Bovée. (2005). Biodiversity of Marine Planktonic Copepods (morphology, geographical distribution and biological data). Sorbonne University, CNRS. ",maximum adult body length,1.32,mm,female
157683,Tortanus_UnID,Genus,720600,Tortanus (Atortus) ampliramus,Species,species within genus,"Ohtsuka, S., M.M. El-Sherbiny & H. Ueda. (2000). Taxonomy, functional morphology, and behavioral ecology of the planktonic calanoid copepod Tortanus (Atortus). Crustacean Research. 29:1-11.",maximum adult body length,2.13,mm,male
157683,Tortanus_UnID,Genus,720600,Tortanus (Atortus) ampliramus,Species,species within genus,"Ohtsuka, S., M.M. El-Sherbiny & H. Ueda. (2000). Taxonomy, functional morphology, and behavioral ecology of the planktonic calanoid copepod Tortanus (Atortus). Crustacean Research. 29:1-11.",maximum adult body length,2.46,mm,female
157683,Tortanus_UnID,Genus,720600,Tortanus (Atortus) ampliramus,Species,species within genus,"Razouls, C., N. Desreumaux, J. Kouwenberg & F. de Bovée. (2005). Biodiversity of Marine Planktonic Copepods (morphology, geographical distribution and biological data). Sorbonne University, CNRS. ",maximum adult body length,2.13,mm,male
157683,Tortanus_UnID,Genus,720600,Tortanus (Atortus) ampliramus,Species,species within genus,"Razouls, C., N. Desreumaux, J. Kouwenberg & F. de Bovée. (2005). Biodiversity of Marine Planktonic Copepods (morphology, geographical distribution and biological data). Sorbonne University, CNRS. ",maximum adult body length,2.46,mm,female
157683,Tortanus_UnID,Genus,720412,Tortanus (Acutanus) angularis,Species,species within genus,"Ohtsuka, S. (1992). Tortanus (Acutanus) angularis, new subgenus and new species (Copepoda: Calanoida), from the Caribbean Sea, with remarks on the subgenera in the genus Tortanus. Proceedings of the Biological Society of Washington 105(2):255-267.",maximum adult body length,0.88,mm,male
157683,Tortanus_UnID,Genus,720412,Tortanus (Acutanus) angularis,Species,species within genus,"Ohtsuka, S. (1992). Tortanus (Acutanus) angularis, new subgenus and new species (Copepoda: Calanoida), from the Caribbean Sea, with remarks on the subgenera in the genus Tortanus. Proceedings of the Biological Society of Washington 105(2):255-267.",maximum adult body length,1.09,mm,female
157683,Tortanus_UnID,Genus,720412,Tortanus (Acutanus) angularis,Species,species within genus,"Razouls, C., N. Desreumaux, J. Kouwenberg & F. de Bovée. (2005). Biodiversity of Marine Planktonic Copepods (morphology, geographical distribution and biological data). Sorbonne University, CNRS. ",maximum adult body length,0.88,mm,male
157683,Tortanus_UnID,Genus,720412,Tortanus (Acutanus) angularis,Species,species within genus,"Razouls, C., N. Desreumaux, J. Kouwenberg & F. de Bovée. (2005). Biodiversity of Marine Planktonic Copepods (morphology, geographical distribution and biological data). Sorbonne University, CNRS. ",maximum adult body length,1.09,mm,female
157683,Tortanus_UnID,Genus,720586,Tortanus (Tortanus) barbatus,Species,species within genus,"Mulyadi. (2009). Species of the genera Temora and  Tortanus from Indonesian coastal waters. Berkala Penelitian Hayati, Journal of Biologiacl Researches. 14: 125–135.",maximum adult body length,1.45,mm,male
157683,Tortanus_UnID,Genus,720586,Tortanus (Tortanus) barbatus,Species,species within genus,"Mulyadi. (2009). Species of the genera Temora and  Tortanus from Indonesian coastal waters. Berkala Penelitian Hayati, Journal of Biologiacl Researches. 14: 125–135.",maximum adult body length,1.65,mm,female
157683,Tortanus_UnID,Genus,720586,Tortanus (Tortanus) barbatus,Species,species within genus,"Conway, D.V.P., R.G. White, J. Hugues-Dit-Ciles, C.P. Gallienne & D.B. Robins. (2003). Guide to the coastal and surface zooplankton of the south-western Indian Ocean. Marine Biological Association of the United Kingdom Occasional Publication. UK-DEFRA Darwin Initiative Project 162/09/004 Zooplankton of the Mascarene Plateau. 15:1-354.",maximum adult body length,1.12,mm,male
157683,Tortanus_UnID,Genus,720586,Tortanus (Tortanus) barbatus,Species,species within genus,"Razouls, C., N. Desreumaux, J. Kouwenberg & F. de Bovée. (2005). Biodiversity of Marine Planktonic Copepods (morphology, geographical distribution and biological data). Sorbonne University, CNRS. ",maximum adult body length,1.2,mm,male
157683,Tortanus_UnID,Genus,720586,Tortanus (Tortanus) barbatus,Species,species within genus,"Bradford-Grieve, J.M. (1999). The Marine Fauna of New Zealand: Pelagic Calanoid Copepoda: Bathypontiidae, Arietellidae, Augaptilidae, Heterorhabdidae, Lucicutiidae, Metrodinidae, Phyllopodidae, Centropagidae, Pseudodiaptomidae, Temoridae, Candaciidae, Pontellidae, Sulcanidae, Acartiid National Institute of Water and Atmospheric Research (NIWA) Biodiversity Memoir, Wellington 111:1-268.",maximum adult body length,2.1,mm,female
157683,Tortanus_UnID,Genus,720586,Tortanus (Tortanus) barbatus,Species,species within genus,"Conway, D.V.P., R.G. White, J. Hugues-Dit-Ciles, C.P. Gallienne & D.B. Robins. (2003). Guide to the coastal and surface zooplankton of the south-western Indian Ocean. Marine Biological Association of the United Kingdom Occasional Publication. UK-DEFRA Darwin Initiative Project 162/09/004 Zooplankton of the Mascarene Plateau. 15:1-354.",maximum adult body length,2.1,mm,female
157683,Tortanus_UnID,Genus,720586,Tortanus (Tortanus) barbatus,Species,species within genus,"Razouls, C., N. Desreumaux, J. Kouwenberg & F. de Bovée. (2005). Biodiversity of Marine Planktonic Copepods (morphology, geographical distribution and biological data). Sorbonne University, CNRS. ",maximum adult body length,2.1,mm,female
157683,Tortanus_UnID,Genus,720413,Tortanus (Atortus) bonjoi,Species,species within genus,"Othman, B.H.R. (1987). Two new species of Tortanus (Crustacea, Copepoda) from Sabah, Malaysia. Malayan Nature Journal 41(1):61-73.",maximum adult body length,1.64,mm,male
