organism_code,aphia_id,taxon,source,aphia_id_syn,synonym,status,rank,kingdom,phylum,class,order,family,genus
6890,397175,Potamocorbula amurensis,worms,538900,Corbula vladivostokensis,unaccepted,Species,Animalia,Mollusca,Bivalvia,Myida,Corbulidae,Corbula
6890,397175,Potamocorbula amurensis,worms,546528,Potamocorbula amurensis takatuayamaensis,unaccepted,Subspecies,Animalia,Mollusca,Bivalvia,Myida,Corbulidae,Potamocorbula
6750,885716,Euglesa casertana,worms,861415,Cardium casertanum,unaccepted,Species,Animalia,Mollusca,Bivalvia,Cardiida,Cardiidae,Cardium
6750,885716,Euglesa casertana,worms,857636,Cyclas (Pisidium) abditum,unaccepted,Species,Animalia,Mollusca,Bivalvia,Sphaeriida,Sphaeriidae,Cyclas
6750,885716,Euglesa casertana,worms,857637,Cyclas minor,junior subjective synonym,Species,Animalia,Mollusca,Bivalvia,Sphaeriida,Sphaeriidae,Cyclas
6750,885716,Euglesa casertana,worms,885724,Euglesa crimeana,unaccepted,Species,Animalia,Mollusca,Bivalvia,Sphaeriida,Sphaeriidae,Euglesa
6750,885716,Euglesa casertana,worms,1435274,Galileja casertana,superseded combination,Species,Animalia,Mollusca,Bivalvia,Sphaeriida,Sphaeriidae,Galileja
6750,885716,Euglesa casertana,worms,853213,Pisidium (Euglesa) casertanum,unaccepted,Species,Animalia,Mollusca,Bivalvia,Sphaeriida,Sphaeriidae,Pisidium
6750,885716,Euglesa casertana,worms,1553039,Pisidium (Rivulina) casertanum,unaccepted,Species,Animalia,Mollusca,Bivalvia,Sphaeriida,Sphaeriidae,Pisidium
6750,885716,Euglesa casertana,worms,861691,Pisidium abditum,unaccepted,Species,Animalia,Mollusca,Bivalvia,Sphaeriida,Sphaeriidae,Pisidium
6750,885716,Euglesa casertana,worms,861722,Pisidium abditum huachucanum,unaccepted,Subspecies,Animalia,Mollusca,Bivalvia,Sphaeriida,Sphaeriidae,Pisidium
6750,885716,Euglesa casertana,worms,861733,Pisidium abditum var. lacteum,unaccepted,Variety,Animalia,Mollusca,Bivalvia,Sphaeriida,Sphaeriidae,Pisidium
6750,885716,Euglesa casertana,worms,857673,Pisidium albidum,unaccepted,Species,Animalia,Mollusca,Bivalvia,Sphaeriida,Sphaeriidae,Pisidium
6750,885716,Euglesa casertana,worms,857675,Pisidium alleni,unaccepted,Species,Animalia,Mollusca,Bivalvia,Sphaeriida,Sphaeriidae,Pisidium
