organism_code,target_taxon_name,target_taxon_level,source,aphia_id,kingdom,phylum,class,order,family,genus,native
4610,Americorophium spinicorne,species,worms,431330,Animalia,Arthropoda,Malacostraca,Amphipoda,Corophiidae,Americorophium,1
4610,Americorophium spinicorne,species,worms,431330,Animalia,Arthropoda,Malacostraca,Amphipoda,Corophiidae,Americorophium,1
4610,Americorophium spinicorne,species,worms,431330,Animalia,Arthropoda,Malacostraca,Amphipoda,Corophiidae,Americorophium,1
4610,Americorophium spinicorne,species,worms,431330,Animalia,Arthropoda,Malacostraca,Amphipoda,Corophiidae,Americorophium,1
4610,Americorophium spinicorne,species,worms,431330,Animalia,Arthropoda,Malacostraca,Amphipoda,Corophiidae,Americorophium,1
4610,Americorophium spinicorne,species,worms,431330,Animalia,Arthropoda,Malacostraca,Amphipoda,Corophiidae,Americorophium,1
4610,Americorophium spinicorne,species,worms,431330,Animalia,Arthropoda,Malacostraca,Amphipoda,Corophiidae,Americorophium,1
4630,Americorophium stimpsoni,species,worms,431331,Animalia,Arthropoda,Malacostraca,Amphipoda,Corophiidae,Americorophium,1
4630,Americorophium stimpsoni,species,worms,431331,Animalia,Arthropoda,Malacostraca,Amphipoda,Corophiidae,Americorophium,1
4630,Americorophium stimpsoni,species,worms,431331,Animalia,Arthropoda,Malacostraca,Amphipoda,Corophiidae,Americorophium,1
4630,Americorophium stimpsoni,species,worms,431331,Animalia,Arthropoda,Malacostraca,Amphipoda,Corophiidae,Americorophium,1
4630,Americorophium stimpsoni,species,worms,431331,Animalia,Arthropoda,Malacostraca,Amphipoda,Corophiidae,Americorophium,1
4630,Americorophium stimpsoni,species,worms,431331,Animalia,Arthropoda,Malacostraca,Amphipoda,Corophiidae,Americorophium,1
4630,Americorophium stimpsoni,species,worms,431331,Animalia,Arthropoda,Malacostraca,Amphipoda,Corophiidae,Americorophium,1
4630,Americorophium stimpsoni,species,worms,431331,Animalia,Arthropoda,Malacostraca,Amphipoda,Corophiidae,Americorophium,1
4630,Americorophium stimpsoni,species,worms,431331,Animalia,Arthropoda,Malacostraca,Amphipoda,Corophiidae,Americorophium,1
4670,Grandidierella japonica,species,worms,238740,Animalia,Arthropoda,Malacostraca,Amphipoda,Aoridae,Grandidierella,0
4670,Grandidierella japonica,species,worms,238740,Animalia,Arthropoda,Malacostraca,Amphipoda,Aoridae,Grandidierella,0
4670,Grandidierella japonica,species,worms,238740,Animalia,Arthropoda,Malacostraca,Amphipoda,Aoridae,Grandidierella,0
4740,Crangonyx floridanus,species,worms,431482,Animalia,Arthropoda,Malacostraca,Amphipoda,Crangonyctidae,Crangonyx,0
4740,Crangonyx floridanus,species,worms,431482,Animalia,Arthropoda,Malacostraca,Amphipoda,Crangonyctidae,Crangonyx,0
4740,Crangonyx floridanus,species,worms,431482,Animalia,Arthropoda,Malacostraca,Amphipoda,Crangonyctidae,Crangonyx,0
4750,Gammarus daiberi,species,worms,158091,Animalia,Arthropoda,Malacostraca,Amphipoda,Gammaridae,Gammarus,0
4750,Gammarus daiberi,species,worms,158091,Animalia,Arthropoda,Malacostraca,Amphipoda,Gammaridae,Gammarus,0
4750,Gammarus daiberi,species,worms,158091,Animalia,Arthropoda,Malacostraca,Amphipoda,Gammaridae,Gammarus,0
4750,Gammarus daiberi,species,worms,158091,Animalia,Arthropoda,Malacostraca,Amphipoda,Gammaridae,Gammarus,0
