Citation_title,Citation_complete
A review of the Rhyacophilidae (Trichoptera).,"Denning, D. G. (1948). ""A review of the Rhyacophilidae (Trichoptera)."" The Canadian Entomologist 80: 97-117."
A review of the stoneflies of Colorado with description of a new species of Capnia,"Kondratieff, B. C., and R. W. Baumann. 2002. A review of the stoneflies of Colorado with description of a new species of Capnia (Plecoptera: Capniidae). Transactions of the American Entomological Society 128(3):385-401."
A revision of Neochoroterpes (Ephemeroptera: Leptophlebiidae) new status,"Henry, B. C., Jr. 1993. A revision of Neochoroterpes (Ephemeroptera: Leptophlebiidae) new status. Transactions of the American Entomological Society 119(4):317-333."
A revision of the Baetidae with spatulate-clawed nymphs (Ephemeroptera),"Traver, J. R., and G. F. Edmunds, Jr. 1968. A revision of the Baetidae with spatulate-clawed nymphs (Ephemeroptera). Pacific Insects 10(3-4):629-677."
A revision of the Caenidae with ocellar tubercles in the nymphal stage (Ephemeroptera),"Soldán, T. 1986. A revision of the Caenidae with ocellar tubercles in the nymphal stage (Ephemeroptera). Acta Universitartis Carolinae - Biologica 6:289-362."
A revision of the genus Ametropus in North America (Ephemeroptera: Ametropodidae),"Allen, R. K., and G. F. Edmunds, Jr. 1976. A revision of the genus Ametropus in North America (Ephemeroptera: Ametropodidae). Journal of the Kansas Entomological Society 49(4):625-635."
A revision of the genus Caenis in North America (Ephemeroptera: Caenidae),"Provonsha, A. V. 1991. A revision of the genus Caenis in North America (Ephemeroptera: Caenidae). Transactions of the American Entomological Society 116(4):801-884."
A revision of the genus Ephemerella I. The subgenus Timpanoga,"Allen, R. K., and G. F. J. Edmunds. 1959. A revision of the genus Ephemerella (Ephemeroptera: Ephemerellidae) I. The subgenus Timpanoga. The Canadian Entomologist 91(1):51-58."
A revision of the genus Ephemerella III. The subgenus Attenuatella,"Allen, R. K., and G. F. J. Edmunds. 1961. A revision of the genus Ephemerella (Ephemeroptera: Ephemerellidae) III. The subgenus Attenuatella. Kansas Entomological Society 34(4):161-174."
A revision of the genus Leptophlebia Westwood in North America,"Burian, S. K. 2001. A revision of the genus Leptophlebia Westwood in North America (Ephemeroptera: Leptophlebiidae: Leptophlebiinae). Bulletin of the Ohio Biological Society 13(3):1-80."
A revision of the genus Psephenus (water-penny beetles) of the United States and Canada,"Brown, H. P., and C. M. Murvosh. 1974. A revision of the genus Psephenus (water-penny beetles) of the United States and Canada (Coleoptera, Dryopoidea, Psephenidae). Transactions of the American Entomological Society 100:289-340."
